Paul Mazursky,{'The Sopranos': 'Sunshine'}
Louis Crugnali,{'The Sopranos': 'Carlo Renzi'}
Aleksa Palladino,{'The Sopranos': 'Alessandra'}
Elaine del Valle,{'The Sopranos': 'Sandrine'}
Alison Bartlett,{'The Sopranos': 'Gwen MacIntyre'}
Armen Garo,"{'The Sopranos': ""Salvatore 'Coco' Cogliano""}"
Felix Solis,{'The Sopranos': 'Edgar Ramirez'}
Susan Blommaert,{'The Sopranos': 'Betty Wolf'}
Paul Dano,{'The Sopranos': 'Patrick Whalen'}
Sasha Nesterov,{'The Sopranos': 'Russian Man'}
Christine Pedi,{'The Sopranos': 'Karen Baccalieri'}
Fran Anthony,{'The Sopranos': 'Minn Matrone'}
Daniel Sauli,{'The Sopranos': 'Patrick Parisi'}
Dennis Paladino,{'The Sopranos': 'Al Lombardo'}
Anna Berger,{'The Sopranos': 'Cookie Cirillo'}
Adrian Martinez,{'The Sopranos': 'Ramone'}
Phyllis Kay,{'The Sopranos': 'Rita Lombardo'}
Seth Barrish,{'The Sopranos': 'Doctor'}
Stewart J. Zully,{'The Sopranos': 'Alan Ginsberg'}
Adam Mucci,{'The Sopranos': 'Eric DeBenedetto'}
Suzanne DiDonna,{'The Sopranos': 'Deanne Pontecorvo'}
Brad Zimmerman,{'The Sopranos': 'Ron Pearse'}
Bobby Rivers,{'The Sopranos': 'Male Anchor'}
Vanessa Ferlito,{'The Sopranos': 'Tina'}
Brian Smyj,{'The Sopranos': 'Agent Smyj'}
Steve Santosusso,{'The Sopranos': 'Anthony'}
Bruce Smolanoff,{'The Sopranos': 'Emil Kolar'}
Daniel London,{'The Sopranos': 'Eddie'}
Peter McRobbie,{'The Sopranos': 'Father Felix'}
Igor Zhivotovsky,{'The Sopranos': 'Igor Parnasky'}
Gary Perez,{'The Sopranos': 'Agent Marquez'}
Anne Assante,{'The Sopranos': 'Caterina Cella'}
Marc Damon Johnson,{'The Sopranos': 'Detective Filemon Francis'}
Will Arnett,{'The Sopranos': 'Mike Waldrup'}
Michelle Christian Corp,{'The Sopranos': 'Janet Petit'}
Carlo Giuliano,{'The Sopranos': 'Italo'}
Joey Perillo,{'The Sopranos': 'John Stefano'}
Marcia Haufrecht,{'The Sopranos': 'Fanny'}
Dane Curley,{'The Sopranos': 'Justin Cifaretto'}
David Mogentale,{'The Sopranos': 'Coach Goodwin'}
Daniel Oreskes,{'The Sopranos': 'Principal Cincotta'}
Kelly Madison Kole,{'The Sopranos': 'Debbie'}
Allen Enlow,{'The Sopranos': 'Dr. Harry Winer'}
Vito Antuofermo,"{'The Sopranos': 'Bobby Coniglio', 'Goodfellas': 'Prizefighter'}"
Kevin Interdonato,{'The Sopranos': 'Dogsy'}
Tony Cucci,{'The Sopranos': 'Fat Dom Gamiello'}
Daniel Ahearn,{'The Sopranos': 'Elliot'}
Rick Aiello,"{'The Sopranos': ""Ray-Ray D'Abaldo""}"
Lindsay Campbell,{'The Sopranos': 'Professor Kline'}
Charles Santy,{'The Sopranos': 'Cesar'}
Kevin Janicelli,{'The Sopranos': 'Roy Del Guercio'}
Suzanne Hevner,{'The Sopranos': 'Val'}
Antony Hagopian,{'The Sopranos': 'Emmerich'}
Chris McGarry,{'The Sopranos': 'Pat'}
Matthew Weiner,{'The Sopranos': 'Manny Safier'}
Nathalie Walker,{'The Sopranos': 'Lori'}
James Vincent Romano,{'The Sopranos': 'Cary Di Bartolo'}
Rosa Nino,{'The Sopranos': 'Inez Munoz'}
Eldon Thiele,{'The Sopranos': 'Ron'}
Jerry Grayson,{'The Sopranos': 'Marty Schwartz'}
Matilda Szydagis,{'The Sopranos': 'Yaryna'}
Sal Petraccione,{'The Sopranos': 'George Piocosta'}
Matthew Breiner,{'The Sopranos': 'Rob'}
Richard Petrocelli,{'The Sopranos': 'Rocco'}
Gay Thomas Wilson,{'The Sopranos': 'Nurse'}
Anthony Spina,{'The Sopranos': 'Dealer #2'}
Anjali Bhimani,{'The Sopranos': 'Dr. Budraja'}
Traci Kindell,{'The Sopranos': 'Nurse Leontine Overall'}
Ian Group,{'The Sopranos': 'Colin'}
Fran Gennuso,{'The Sopranos': 'Ms. Mary Bisacci'}
Matt Sauerhoff,{'The Sopranos': 'Victor Mineo'}
Thomas Russo,{'The Sopranos': 'Robbie Pontecorvo'}
Tommy Savas,{'The Sopranos': 'Xavier'}
Luz Lor,{'The Sopranos': 'Nurse Aquino'}
C.S. Lee,{'The Sopranos': 'Dr. Ba'}
Edward Watts,{'The Sopranos': 'Bartender'}
Zuzanna Szadkowski,{'The Sopranos': 'Elzbieta'}
Deirdre Sullivan,{'The Sopranos': 'Green Grove Singer'}
Merel Julia,{'The Sopranos': 'Gianna Millio'}
